title,year,organization
An Architecture for a Cooperative Database System.,1994,University of Maryland
Combining Computation with Database Access in Biomolecular Computing.,1994,University of Michigan
Spatial Databases.,1994,University of Maryland
Managing Multimedia Information in a Database Environment - A Tutorial.,1998,University of Michigan
Cloud Computing - a new era in large scale information and data management systems.,2008,Tel Aviv University
Online Document Clustering Using GPUs.,2013,University of Maryland
An Overview and Intoduction to Logic and Data Bases.,1977,University of Maryland
Background for Advances in Data Base Theory.,1979,University of Maryland
Optimization in Deductive and Conventional Relational Database Systems.,1979,University of Maryland
An Experimental Relational Data Base System Based on Logic.,1977,University of Maryland
Data Base: Theory vs. Interpretation.,1977,University of Maryland
Pseudo-Naive Evaluation.,1999,University of Michigan
Columbia Digital News System An Environment for Briefing and Search over Multimedia Information.,1997,University of Michigan
Scalability Issues for High Performance Digital Libraries on the World Wide Web.,1996,University of Maryland
A Metadata Architecture for Digital Libraries.,1998,University of Michigan
Dienst: Building a Production technical Report Server.,1995,University of Michigan
Query Previews in Networked Information Systems.,1996,University of Maryland
Beyond the Endless Frontier: The Future of Research University in the Digital Age.,1999,University of Michigan
Refining Query Previews Techniques for Data with Multivalued Attributes: The Case of NASA EOSDIS.,1999,University of Maryland
An Intelligent Agent for the K-12 Educational Community.,1995,University of Maryland
Semantic Relations in a Medical Digital Library.,1998,University of Maryland
Modeling the Behavior of OLAP Applications Using an UML Compilant Approach.,2000,University of Maryland
Generalized software for translating data.,1976,University of Michigan
A program for the analysis and design of general dynamic mechanical systems.,1972,University of Michigan
Evolution of computer memory structure.,1976,University of Maryland
Report on the IBM data security study.,1974,University of Michigan
Evaluating database management systems.,1982,University of Michigan
Data model processing.,1982,University of Maryland
Optimal three-dimensional flight control of a supersonic fighter.,1982,University of Michigan
Data language requirements of database machines.,1982,University of Maryland
The impact of problem statement languages on evaluating and improving software performance.,1972,University of Michigan
A community of individuals: cooperation and individualization in computer science education.,1977,University of Michigan
Developing application oriented computer architectures on general purpose microprogrammable machines.,1976,University of Maryland
"Interactive systems: promises, present and future.",1968,University of Maryland
"Experimental testing in programming languages, stylistic considerations and design techniques.",1975,University of Maryland
"Automatic database system conversion: schema revision, data translation, and source-to-source program transformation.",1982,University of Maryland
Operational software for restructuring network databases.,1977,University of Michigan
A survey of languages for stating requirements for computer-based information systems.,1972,University of Michigan
Properties of disk scheduling policies in multiprogrammed computer systems.,1972,University of Michigan
An undergraduate/graduate program in information systems.,1974,University of Maryland
Visual Analytics of Urban Environments using High-Resolution Geographic Data.,2010,Tel Aviv University
The Effects of Configurational and Functional Factors on the Spatial Distribution of Pedestrians.,2013,Tel Aviv University
A Visual Analytics Approach for Assessing Pedestrian Friendliness of Urban Environments.,2013,Tel Aviv University
A Multi-level Qualitative Formal Model for Geographic Maps.,2002,University of Maryland
Active Views for Electronic Commerce.,1998,Tel Aviv University
Active XML: A Data-Centric Perspective on Web Services.,2002,Tel Aviv University
Secure Exchange of Modifiable Data and Queries.,2005,Tel Aviv University
Querying and Updating the File.,1993,Tel Aviv University
More on Updating the File.,1994,Tel Aviv University
Reasoning about XML Update Constraints.,2006,Tel Aviv University
La sérialisabilité par conflits composés : un critère pour la correction forte dans les multibases de données.,1998,University of Michigan
Dynamic Management of Packet Radio Slots.,1978,University of Maryland
Perception-aware Depth Cueing for Illustrative Vascular Visualization.,2008,University of Michigan
Accurate vessel segmentation with optimal combination of features.,2014,University of Michigan
Semantic Web-Oriented Intelligent Information Retrieval System.,2008,University of Michigan
Improved feedback control system of unstable gas-lift wells.,2012,University of Michigan
Automatic clustering using particle swarm optimization with various validity indices.,2012,University of Michigan
An Algorithm Based on Girth-location for MR Head Image Segmentation.,2008,University of Michigan
A fast detection and diagnosis algorithm for abdominal incisional hernia lesions with automated 3D ultrasound images.,2013,University of Michigan
Pathway Detection Based on Hierarchical LASSO Regression Model.,2009,University of Michigan
The Promise of Distributed Computing and the Challenges of Legacy Systems.,1992,University of Maryland
OPCATeam - Collaborative Business Process Modeling with OPM.,2004,Tel Aviv University
Modeling Alternatives in Exception Executions.,2007,Tel Aviv University
A Database System for Engineering Design.,1985,University of Maryland
