name,paper_count,citation_count,organization
Haizhou Ai,91,1004,University of California San Diego
Ilkay Altintas,54,1062,University of California San Diego
Arnon Amir,54,1046,University of California San Diego
Vineet Bafna,79,2353,University of California San Diego
Rajeev Balasubramonian,54,1330,University of California San Diego
Marian Stewart Bartlett,44,1759,University of California San Diego
Chaitanya K. Baru,54,1082,University of California San Diego
Philippe Bonnet,64,1368,University of California San Diego
Carla E. Brodley,75,2866,University of California San Diego
Samuel R. Buss,83,1550,University of California San Diego
Ranveer Chandra,47,1647,University of California San Diego
Frederic T. Chong,83,1037,University of California San Diego
David D. Clark,42,5294,University of California San Diego
J. Edward Colgate,94,1327,University of California San Diego
Garrison W. Cottrell,56,1195,University of California San Diego
Sanjoy Dasgupta,70,1318,University of California San Diego
Constantinos Daskalakis,99,1166,University of California San Diego
Alin Deutsch,76,2596,University of California San Diego
Sarang Dharmapurikar,19,1071,University of California San Diego
Constantinos Dovrolis,99,2984,University of California San Diego
Prabal Dutta,81,1393,University of California San Diego
Charles Elkan,85,3836,University of California San Diego
Ulfar Erlingsson,31,1053,University of California San Diego
Adam Finkelstein,65,2923,University of California San Diego
Myron Flickner,38,5584,University of California San Diego
James Fogarty,62,1049,University of California San Diego
Yoav Freund,77,12056,University of California San Diego
Brighten Godfrey,64,1084,University of California San Diego
Kristen Grauman,97,1535,University of California San Diego
Thomas L. Griffiths,74,1490,University of California San Diego
Scott Hauck,94,2977,University of California San Diego
Fritz Henglein,53,1132,University of California San Diego
Deborah Hix,46,1021,University of California San Diego
James D. Hollan,73,2637,University of California San Diego
Henrik Wann Jensen,57,2610,University of California San Diego
Ranjit Jhala,71,2930,University of California San Diego
Cheng Jin,69,2068,University of California San Diego
Jan Kautz,99,1782,University of California San Diego
Stephen W. Keckler,89,3940,University of California San Diego
Emre Kiciman,37,1147,University of California San Diego
John Kubiatowicz,82,6934,University of California San Diego
Gert R. G. Lanckriet,87,2644,University of California San Diego
Ratul Mahajan,66,3231,University of California San Diego
Henrique S. Malvar,52,1915,University of California San Diego
Srilatha Manne,23,1285,University of California San Diego
David W. McDonald,70,1561,University of California San Diego
Dharmendra S. Modha,48,2140,University of California San Diego
Jeffrey C. Mogul,90,4747,University of California San Diego
Javier R. Movellan,82,1615,University of California San Diego
Alon Orlitsky,77,1132,University of California San Diego
Rong Pan,89,1094,University of California San Diego
Preeti Ranjan Panda,70,1462,University of California San Diego
Yannis Papakonstantinou,88,7175,University of California San Diego
Joseph Pasquale,64,1559,University of California San Diego
Ramamohan Paturi,62,1363,University of California San Diego
Kristofer S. J. Pister,46,3328,University of California San Diego
James S. Plank,78,2858,University of California San Diego
Bodhi Priyantha,38,2522,University of California San Diego
Arcot Rajasekar,56,1062,University of California San Diego
Deva Ramanan,67,1492,University of California San Diego
Ramachandran Ramjee,61,2689,University of California San Diego
Lawrence K. Saul,87,3281,University of California San Diego
Curt Schurgers,47,1120,University of California San Diego
Fei Sha,77,1408,University of California San Diego
Hovav Shacham,63,3659,University of California San Diego
Elaine Shi,93,1096,University of California San Diego
Alex C. Snoeren,82,2506,University of California San Diego
Olga Sorkine-Hornung,77,1775,University of California San Diego
Michael Stumm,63,1330,University of California San Diego
Gary J. Sullivan,30,3344,University of California San Diego
Benjamin Taskar,88,2558,University of California San Diego
Michael Bedford Taylor,33,1312,University of California San Diego
Joshua B. Tenenbaum,75,1319,University of California San Diego
Thierry Turletti,91,1856,University of California San Diego
John Wawrzynek,65,2297,University of California San Diego
Nicholas Weaver,44,2158,University of California San Diego
Kilian Q. Weinberger,58,1109,University of California San Diego
Ram Zamir,90,2389,University of California San Diego
Kenneth Zeger,94,3186,University of California San Diego
Xiaolan Zhang,52,1571,University of California San Diego
C. Lawrence Zitnick,56,1282,University of California San Diego
