name,paper_count,citation_count,organization
Curt Schurgers,47,1120,University of California San Diego
Chaitanya K. Baru,54,1082,University of California San Diego
Kenneth Zeger,94,3186,University of California San Diego
Ranveer Chandra,47,1647,University of California San Diego
Emre Kiciman,37,1147,University of California San Diego
Kristen Grauman,97,1535,University of California San Diego
Xiaolan Zhang,52,1571,University of California San Diego
Thierry Turletti,91,1856,University of California San Diego
Alin Deutsch,76,2596,University of California San Diego
Frederic T. Chong,83,1037,University of California San Diego
Arnon Amir,54,1046,University of California San Diego
Myron Flickner,38,5584,University of California San Diego
Haizhou Ai,91,1004,University of California San Diego
Prabal Dutta,81,1393,University of California San Diego
David W. McDonald,70,1561,University of California San Diego
John Kubiatowicz,82,6934,University of California San Diego
Fei Sha,77,1408,University of California San Diego
Cheng Jin,69,2068,University of California San Diego
Philippe Bonnet,64,1368,University of California San Diego
Carla E. Brodley,75,2866,University of California San Diego
James S. Plank,78,2858,University of California San Diego
Scott Hauck,94,2977,University of California San Diego
Ilkay Altintas,54,1062,University of California San Diego
Javier R. Movellan,82,1615,University of California San Diego
Ranjit Jhala,71,2930,University of California San Diego
Jeffrey C. Mogul,90,4747,University of California San Diego
Marian Stewart Bartlett,44,1759,University of California San Diego
Olga Sorkine-Hornung,77,1775,University of California San Diego
Srilatha Manne,23,1285,University of California San Diego
Sanjoy Dasgupta,70,1318,University of California San Diego
James Fogarty,62,1049,University of California San Diego
Charles Elkan,85,3836,University of California San Diego
Stephen W. Keckler,89,3940,University of California San Diego
Alex C. Snoeren,82,2506,University of California San Diego
