author,conference
Pieter Abbeel,NIPS
Pieter Abbeel,NIPS
Pieter Abbeel,UAI
Serge Abiteboul,ICDT
Serge Abiteboul,SIGMOD
Imran Ahmed,ICPR
Francesc Alias,IWANN
Daniel J. Amit,IJCNN
Benny Applebaum,EUROCRYPT
Suguru Arimoto,IROS
Peter Auer,COLT
Vineet Bafna,WABI
Trevor C. Bailey,ICAISC
Zhifeng Bao,ICDE
Zhuowei Bao,SIGMOD
Rakesh D. Barve,COLT
Siddharth Batra,NIPS
Serge J. Belongie,DAGM
Shai Ben-David,COLT
Shai Ben-David,COLT
Shai Ben-David,COLT
Michael Benedikt,PODS
Vitoantonio Bevilacqua,ICIC
Vitoantonio Bevilacqua,ICIC
Basabdatta Sen Bhattacharya,ICANN
David M. Blei,NIPS
Rubi Boim,CIKM
Rubi Boim,EDBT
Rubi Boim,ICDE
Rubi Boim,ICDE
Rubi Boim,ICDE
Flavio Bortolozzi,DAS
Gary R. Bradski,NIPS
Val Tannen,CIDR
Val Tannen,CIDR
Val Tannen,ICDE
Val Tannen,ICDT
Val Tannen,PODS
Michael J. Cafarella,SIGMOD
Shang Cai,ICNC
Joan Claudi Socoro,IWANN
Chad Carson,DAGM
John N. Carter,ICPR
John N. Carter,ICPR
John N. Carter,ICPR
John N. Carter,ICPR
Joao Marques de Carvalho,CIARP
Joao Marques de Carvalho,CIARP
Joao Marques de Carvalho,DAS
Joao Marques de Carvalho,ICDAR
Joao Marques de Carvalho,ICPR
Joao Marques de Carvalho,ICPR
Andy D. Castellano-Smith,BILDMED
Nicolo Cesa-Bianchi,COLT
Yixiong Chen,IJCNN
Long Cheng,IJCNN
Long Cheng,IJCNN
Cheng-Tao Chu,NIPS
Dan C. Ciresan,IJCNN
Adam Coates,ICML
Adam Coates,ICPR
Adam Coates,NIPS
Timothy J. Coats,ICAISC
Dominique Collard,IROS
Suzete E. N. Correia,ICPR
Marco Cortellino,ICIC
Marco Cortellino,ICIC
Damien Coyle,ICANN
Damien Coyle,ICPR
Damien Coyle,IJCNN
Daniel Cremers,DAGM
Susan B. Davidson,BIRTHDAY
Susan B. Davidson,CIDR
Susan B. Davidson,CIDR
Susan B. Davidson,CIDR
Susan B. Davidson,ICDE
Susan B. Davidson,ICDT
Susan B. Davidson,ICDT
Susan B. Davidson,PODS
Susan B. Davidson,SIGMOD
Susan B. Davidson,SIGMOD
Andreas Degenhard,BILDMED
Daniel Deutch,CIDR
Daniel Deutch,ICDE
Daniel Deutch,ICDT
Daniel Deutch,ICDT
Daniel Deutch,PODS
Daniel Deutch,PODS
Daniel Deutch,SIGMOD
Daniel Deutch,WEBDB
Charles DuHadway,ICML
Nadav Eiron,COLT
Richard M. Everson,ICAISC
Jacques Facon,DAS
Jonathan E. Fieldsend,ICAISC
Cinthia Obladen de Almendra Freitas,CIARP
Richard Freyer,BILDMED
Gabriel Fricout,ICONIP
Gabriel Fricout,IJCNN
Sven Friedl,BILDMED
Si-Yao Fu,IJCNN
Si-Yao Fu,IJCNN
Hiroyuki Fujita,IROS
Hiroyuki Fujita,IROS
Hiroyuki Fujita,IROS
Stefano Fusi,IJCNN
Varun Ganapathi,NIPS
Matthieu Geist,ICONIP
Carme Torras,ICPR
Paolo Del Giudice,IJCNN
Kenneth Y. Goldberg,SIGMOD
Herman Martins Gomes,CIARP
Yann Le Gorrec,IROS
Ohad Greenshpan,ICDE
Ohad Greenshpan,ICDE
Yi Gu,ICML
Cuntai Guan,ICPR
Dirk Van Gucht,PODS
Yassine Haddab,IROS
Uwe Hampel,BILDMED
Daishi Harada,ICML
David J. Hawkes,BILDMED
David P. Helmbold,COLT
Derek L. G. Hill,BILDMED
D. Rodney Hose,BILDMED
Zeng-Guang Hou,IJCNN
Zeng-Guang Hou,IJCNN
Zeng-Guang Hou,IJCNN
Zeng-Guang Hou,IJCNN
Jin Hu,IJCNN
Sanqing Hu,IJCNN
Koji Ikuta,IROS
Zachary G. Ives,CIDR
Marie Jacob,CIDR
H. V. Jagadish,CIDR
H. V. Jagadish,DASFAA
H. V. Jagadish,DNIS
H. V. Jagadish,ICDE
H. V. Jagadish,ICDE
H. V. Jagadish,ICDE
H. V. Jagadish,SIGMOD
H. V. Jagadish,SIGMOD
H. V. Jagadish,SIGMOD
H. V. Jagadish,SIGMOD
H. V. Jagadish,SIGMOD
H. V. Jagadish,SIGMOD
Laurent Jalabert,IROS
Phillis Jones,MCS
Michael I. Jordan,NIPS
Michael I. Jordan,NIPS
Michael I. Jordan,NIPS
Christian Jutten,ICA
Sham M. Kakade,NIPS
Takafumi Kanamori,NIPS
Alexandre Karpenko,NIPS
Nikola K. Kasabov,IJCNN
Jens Keuchel,DAGM
Sanjeev Khanna,BIRTHDAY
Sanjeev Khanna,CIDR
Sanjeev Khanna,ICDT
Sanjeev Khanna,PODS
Aditya Khosla,ICML
Sang Kyun Kim,NIPS
Klaus Kneupner,ECML
Dai Kobayashi,IROS
Daphne Koller,UAI
J. Zico Kolter,ICML
