id,movie_id,company_id,company_type_id,note
6738,19576,722,1,(2008-) (Brazil) (TV)
1290802,60865,27,2,
18392,73564,1121,1,(2012) (USA) (TV)
1294017,74601,4988,2,
1294111,74680,72438,2,
1309985,138933,2049,2,
1325126,181193,11,2,
1334917,206797,240,2,(for)
57310,214151,3488,1,
59645,225880,19,1,(1992) (USA) (TV) (original airing)
69385,290033,122,1,(2007) (Hungary) (TV)
97564,385398,462,1,(200?) (Netherlands) (TV)
113777,483396,686,1,(2011) (USA) (DVD)
1441233,569312,71614,2,
143858,586768,1257,1,(2006) (USA) (DVD)
158015,654621,1995,1,(2004) (Spain) (DVD)
1527426,861930,2187,2,(for)
214647,891689,93,1,(1988) (UK) (TV)
1602688,1103532,79657,2,
313270,1287728,19,1,
321191,1317287,1331,1,(2013) (Germany) (DVD)
336963,1361193,741,1,(2011) (Hungary) (TV) (re-release)
1690985,1365932,71609,2,
1695322,1374438,85732,2,
345753,1380173,18,1,
383901,1492921,143,1,(2001-2002) (USA) (TV)
419234,1639199,51,1,(2012) (Netherlands) (DVD) (Blu-ray)
419231,1639199,1484,1,(2012) (Germany) (DVD)
419231,1639199,1484,1,(2012) (Germany) (DVD)
419231,1639199,1484,1,(2012) (Germany) (DVD)
419235,1639199,52,1,(2012) (USA) (DVD)
1778286,1639421,93082,2,(in association with)
1781025,1642309,61839,2,
422254,1642446,1408,1,(2012) (Thailand) (all media)
423121,1643482,2962,1,(2007) (non-USA) (all media) (Middle East)
425568,1646065,14418,1,(2007) (Slovakia) (theatrical)
435028,1656647,11564,1,(2003) (USA) (DVD)
441235,1663288,461,1,(2012) (Netherlands) (DVD) (rental)
441233,1663288,461,1,(2012) (Netherlands) (DVD) (3D Blu-ray) (rental)
441233,1663288,461,1,(2012) (Netherlands) (DVD) (3D Blu-ray) (rental)
441222,1663288,11413,1,(2012) (Argentina) (theatrical)
441233,1663288,461,1,(2012) (Netherlands) (DVD) (3D Blu-ray) (rental)
441235,1663288,461,1,(2012) (Netherlands) (DVD) (rental)
443062,1665416,7641,1,(2006) (USA) (video)
1806541,1670633,92804,2,
1807594,1671749,13157,2,
449826,1673578,426,1,(2013) (Netherlands) (DVD)
449825,1673578,426,1,(2012) (Netherlands) (theatrical)
449855,1673598,17207,1,(1987) (Brazil) (all media)
1812134,1676804,184,2,(in co-production with) (as SWR)
454487,1678040,11227,1,(2004) (Sweden) (theatrical)
455607,1679328,133,1,(1978) (Japan) (TV)
456965,1680908,1610,1,(2013) (worldwide) (video)
457731,1681388,252,1,(2003) (Netherlands) (TV) (first national airing)
461805,1686057,11274,1,(2008) (Italy) (all media)
463185,1687795,3016,1,(2009) (USA) (DVD) (Blu-ray)
464926,1689585,11768,1,(1990) (USA) (VHS)
469144,1694576,1347,1,(2013) (Germany) (DVD) (Blu-ray)
469144,1694576,1347,1,(2013) (Germany) (DVD) (Blu-ray)
469144,1694576,1347,1,(2013) (Germany) (DVD) (Blu-ray)
469127,1694576,521,1,(2013) (Argentina) (DVD) (Blu-ray)
469126,1694576,521,1,(2013) (Argentina) (DVD)
469144,1694576,1347,1,(2013) (Germany) (DVD) (Blu-ray)
469126,1694576,521,1,(2013) (Argentina) (DVD)
469815,1695237,1879,1,(2010) (Canada) (DVD)
1832849,1700049,109208,2,
474006,1700275,1571,1,(2013) (United Arab Emirates) (all media) (Middle East)
479776,1707363,14410,1,(1985) (Austria) (theatrical)
480146,1707638,1713,1,(2012) (Singapore) (theatrical)
482626,1710155,426,1,(2013) (Netherlands) (DVD) (Blu-ray)
482625,1710155,426,1,(2013) (Netherlands) (DVD)
482633,1710155,228,1,(2013) (Germany) (theatrical)
482633,1710155,228,1,(2013) (Germany) (theatrical)
485760,1713837,13515,1,(USA)
488172,1716058,1451,1,(2011) (USA) (theatrical)
488172,1716058,1451,1,(2011) (USA) (theatrical)
488164,1716058,530,1,(2012) (Netherlands) (DVD)
489133,1717248,573,1,(2013) (Netherlands) (DVD)
489889,1717975,1567,1,(2012) (worldwide) (all media)
489889,1717975,1567,1,(2012) (worldwide) (all media)
492842,1720769,24173,1,(Russia)
493740,1721478,34,1,(2005) (USA) (DVD)
1857559,1727602,1451,2,(presents)
498705,1727602,530,1,(2012) (Netherlands) (DVD)
500218,1729114,6227,1,(1965) (USA) (theatrical)
502542,1731939,1501,1,(2012) (Canada) (all media)
503046,1732333,12042,1,(2002) (Sweden) (DVD)
505608,1734550,1461,1,(1997) (USA) (VHS)
506681,1735567,4441,1,(2007) (Germany) (theatrical)
1871945,1743959,499,2,(in association with)
516347,1744277,2561,1,(1996) (USA) (VHS) (letterbox)
523763,1751321,52,1,(2011) (USA) (DVD)
524871,1752558,475,1,(1969) (USA) (theatrical) (released by) (as Twentieth Century-Fox Film Corporation)
530290,1758281,11745,1,(1993) (Spain) (theatrical)
536995,1764320,8012,1,(2007) (France) (theatrical)
537330,1764687,52,1,(2013) (USA) (DVD) (Blu-ray)
1894944,1768214,72,2,
541657,1769447,3139,1,(????) (USA) (DVD)
542116,1770152,846,1,(2012) (USA) (theatrical)
545799,1773981,522,1,(200?) (Netherlands) (TV)
1900328,1774469,846,2,(presents) (as Warner Bros.)
1901416,1775512,677,2,(with the participation of)
551992,1780674,6596,1,(1980s) (Finland) (VHS)
552514,1781140,10775,1,(2004) (USA) (theatrical)
555536,1784270,17693,1,(2008) (Non-USA) (all media)
556647,1785652,521,1,(2012) (Argentina) (DVD)
1914525,1789757,119,2,(support)
560591,1789757,1828,1,(2012) (Netherlands) (DVD)
1918751,1794362,68,2,
1921154,1797355,6227,2,
568599,1797731,9328,1,(2005) (Germany) (DVD)
575605,1804598,13224,1,(2004) (worldwide) (all media)
1932108,1807863,24470,2,
578867,1808505,1408,1,(2006) (Thailand) (DVD)
579052,1808588,9863,1,(2010) (UK) (DVD)
579317,1808815,9174,1,(1995) (Greece) (VHS)
1934548,1810263,675,2,(with the participation of)
1934534,1810263,677,2,(with the participation of)
580328,1810263,52,1,(2013) (USA) (DVD) (Blu-ray)
580326,1810263,1717,1,(2012) (USA) (theatrical) (subtitled)
1934545,1810263,55,2,(as RTBF {Télévision Belge})
581202,1811168,1828,1,(2013) (Netherlands) (theatrical)
581200,1811168,1713,1,(2013) (Singapore) (theatrical)
598747,1830688,9353,1,(1969) (Canada) (theatrical) (dubbed)
604212,1836438,51,1,(2013) (Netherlands) (DVD)
604367,1836696,4244,1,(2010) (UK) (all media)
604645,1837134,250,1,(2013) (Australia) (DVD)
1964161,1839943,88177,2,(in association with)
613575,1845819,1475,1,(2012) (Denmark) (all media)
613577,1845819,1475,1,(2012) (Norway) (all media)
613543,1845819,1828,1,(2012) (Netherlands) (theatrical)
613578,1845819,1475,1,(2012) (Sweden) (all media)
613581,1845819,228,1,(2012) (Germany) (all media)
613545,1845819,1828,1,(2013) (Netherlands) (DVD) (Blu-ray)
613576,1845819,1475,1,(2012) (Iceland) (all media)
613575,1845819,1475,1,(2012) (Denmark) (all media)
613577,1845819,1475,1,(2012) (Norway) (all media)
1971415,1848002,2561,2,(presents) (as Paramount)
1972132,1848747,5898,2,(presents)
616998,1849490,1610,1,(2012) (USA) (video)
1973520,1850252,54025,2,
617908,1850829,1734,1,(2012) (France) (theatrical)
620300,1853283,13504,1,(2009) (UK) (DVD) (Blu-ray)
1980495,1860661,142281,2,
1983042,1859935,55571,2,
1983937,1861060,64,2,
625400,1861386,9366,1,(2007) (Spain) (theatrical)
628594,1866056,1161,1,(video)
630411,1868628,531,1,(2012) (USA) (DVD)
630415,1868628,33,1,(2013) (Netherlands) (DVD) (Blu-ray)
632740,1871525,5472,1,(1990) (USA) (VHS)
633238,1872105,16776,1,(1921) (Germany) (theatrical)
637318,1877091,443,1,(2014) (Canada) (TV)
2004839,1884469,120004,2,
2005772,1885397,147711,2,
648036,1888135,1408,1,(2012) (Thailand) (all media)
2014440,1895141,119,2,(with the support of)
668111,1908510,7641,1,(2004) (USA) (DVD)
2037092,1920061,17643,2,
2037407,1920388,677,2,(in collaboration with)
682167,1922723,4241,1,(2005) (Netherlands) (DVD)
683501,1923855,1434,1,(1998) (USA) (DVD)
2042471,1925819,154562,2,(with the participation of)
685661,1925997,1571,1,(2012) (United Arab Emirates) (all media) (Middle East)
688831,1929179,1461,1,(199?) (USA) (video) (laserdisc)
694698,1935381,1711,1,(????) (UK) (theatrical)
695919,1936638,14760,1,(2013) (France) (theatrical)
695913,1936638,686,1,(2013) (USA) (DVD) (Blu-ray)
2054445,1938935,156877,2,
698422,1938942,12273,1,(2004) (Lithuania) (theatrical)
2054514,1938842,1451,2,
704316,1944597,1402,1,(USA) (laserdisc)
706987,1947315,1854,1,(2007) (Germany) (DVD)
2063421,1948448,1310,2,
708602,1949184,11779,1,(2000) (Netherlands) (theatrical)
709657,1949881,2849,1,(200?) (Germany) (DVD)
710879,1951295,3234,1,(2002) (USA) (VHS)
715866,1956289,2,1,(2012) (worldwide) (video)
722385,1962193,1710,1,(2011) (Netherlands) (theatrical)
725517,1965821,1891,1,(2012) (Japan) (DVD) (Blu-ray)
726508,1967483,1828,1,(2013) (Netherlands) (theatrical)
727164,1968422,19410,1,(2010) (Greece) (theatrical)
727708,1969435,4360,1,(2000) (Netherlands) (VHS)
2085073,1972354,73622,2,(with the support of)
737002,1977430,4562,1,(2008) (Germany) (DVD)
741061,1981673,7876,1,(2008) (USA) (DVD)
741717,1982722,3428,1,(2010) (Greece) (theatrical)
746315,1988031,4051,1,(2005) (Brazil) (DVD)
2100455,1988910,71555,2,
748072,1989596,2045,1,(2013) (USA) (DVD)
2101220,1989614,302,2,(co-production)
754658,1997182,1551,1,(198?) (Netherlands) (VHS)
755210,1997805,11302,1,(1986) (France) (theatrical)
756359,1999299,3139,1,(2001) (USA) (DVD)
760111,2002976,2164,1,(2013) (USA) (theatrical)
761295,2004290,1347,1,(2012) (Germany) (DVD)
761298,2004290,33,1,(2012) (Netherlands) (DVD) (Blu-ray)
763041,2006059,14693,1,(USA)
764041,2006899,13278,1,(2008) (Philippines) (theatrical)
773717,2019540,862,1,(2012) (Hungary) (TV)
777502,2023071,4465,1,(2010) (Hungary) (theatrical)
778639,2024520,2215,1,(1997) (Finland) (theatrical)
780581,2027464,47231,1,(2006) (India) (all media)
2137544,2028524,170580,2,
785209,2032838,518,1,(2013) (Japan) (TV)
785209,2032838,518,1,(2013) (Japan) (TV)
790577,2037890,11513,1,(1995) (France) (theatrical)
795747,2044243,1713,1,(2007) (Singapore) (theatrical)
795945,2044426,9774,1,(1978) (Australia) (theatrical)
805164,2054954,1828,1,(2013) (Netherlands) (theatrical)
805164,2054954,1828,1,(2013) (Netherlands) (theatrical)
806424,2056208,425,1,(2012) (USA) (DVD)
806434,2056208,1627,1,(2013) (Germany) (DVD)
2176848,2062101,677,2,(participation)
813945,2063562,13434,1,(2010) (Netherlands) (theatrical)
2180532,2065613,44018,2,
815914,2065867,16081,1,(1989) (Canada) (theatrical)
816353,2068450,579,1,(2013) (UK) (DVD) (Blu-ray)
816361,2068450,1451,1,(2012) (USA) (theatrical)
816383,2068825,774,1,(2009) (Australia) (DVD)
2185884,2069272,56,2,(participation)
821511,2071249,10309,1,(1998) (Finland) (DVD)
821601,2071253,11815,1,(1998) (Philippines) (theatrical)
823888,2073984,13525,1,(2012) (Lithuania) (theatrical)
827188,2077682,4163,1,(2011) (USA) (DVD)
829578,2080209,228,1,(2012) (Germany) (theatrical)
829576,2080209,52,1,(2012) (USA) (DVD) (Blu-ray)
829578,2080209,228,1,(2012) (Germany) (theatrical)
829564,2080209,1828,1,(2012) (Netherlands) (DVD) (Blu-ray)
829564,2080209,1828,1,(2012) (Netherlands) (DVD) (Blu-ray)
831757,2082322,1828,1,(2013) (Netherlands) (DVD) (Blu-ray)
831759,2082322,588,1,(2013) (Germany) (DVD) (Rental)
831756,2082322,1828,1,(2013) (Netherlands) (DVD)
831759,2082322,588,1,(2013) (Germany) (DVD) (Rental)
831756,2082322,1828,1,(2013) (Netherlands) (DVD)
831755,2082322,1828,1,(2012) (Netherlands) (theatrical)
831756,2082322,1828,1,(2013) (Netherlands) (DVD)
831772,2082322,52,1,(2012) (USA) (DVD) (Blu-ray)
831759,2082322,588,1,(2013) (Germany) (DVD) (Rental)
831772,2082322,52,1,(2012) (USA) (DVD) (Blu-ray)
832196,2082699,1711,1,(2013) (UK) (theatrical)
836875,2088217,3141,1,(2012) (UK) (all media)
837236,2088731,27447,1,(2009) (Taiwan) (theatrical)
839413,2091575,2435,1,(2009) (Netherlands) (DVD) (Mr. Horror Presents #18)
839411,2091575,12141,1,(2009) (Singapore) (theatrical)
841321,2092984,516,1,(2013) (Australia) (theatrical)
2213915,2098962,133626,2,
847597,2099800,2610,1,(2007-2008) (Serbia) (DVD)
2217386,2102742,10522,2,(in collaboration with)
850392,2102951,521,1,(2008) (Argentina) (DVD)
850781,2103400,2164,1,(2006) (USA) (theatrical)
852402,2104941,3427,1,(1990) (Sweden) (VHS)
855374,2108311,1853,1,(2013) (Japan) (DVD) (Blu-ray)
856461,2109679,6694,1,(2006) (Japan) (all media)
856451,2109679,1408,1,(2005) (Vietnam) (all media)
857599,2110757,2476,1,(2001) (Brazil) (VHS)
857972,2111089,9006,1,(Bulgaria) (all media)
2228311,2114324,438,2,
861715,2115409,52087,1,(1986) (Spain) (VHS) (1984 version)
874844,2129826,52893,1,(2003) (Netherlands) (theatrical)
2245413,2132756,22956,2,
879580,2135114,1461,1,(2004) (Canada) (DVD)
880442,2135631,2609,1,(1995) (Argentina) (VHS)
882098,2137489,250,1,(1979) (Australia) (all media)
883337,2138855,1820,1,(2004) (Canada) (DVD)
886016,2141729,1344,1,(2013) (Sweden) (TV)
2254609,2142882,1222,2,(co-production)
887681,2143971,12978,1,(1992) (France) (theatrical)
2256029,2144544,1532,2,
2258945,2148315,53578,2,
891935,2149444,3696,1,(2001) (Greece) (TV)
893291,2151116,4441,1,(1991) (Germany) (theatrical)
895577,2153926,34,1,(2011) (USA) (DVD) (DVD-R)
2266281,2156543,20407,2,
2274506,2165450,96660,2,
908239,2168588,1828,1,(2012) (Netherlands) (theatrical)
909873,2170617,13644,1,(2010) (USA) (DVD)
911178,2172155,4619,1,(1989) (UK) (theatrical)
2281112,2172349,12673,2,
911920,2173203,12199,1,(2001) (Argentina) (all media) (re-release)
2288247,2180316,79646,2,
920946,2183276,6,1,(2003) (USA) (TV)
926991,2190298,2561,1,(1949) (USA) (theatrical)
927108,2190412,27272,1,(2007) (Russia) (theatrical)
928299,2191554,14755,1,(1970) (USA) (theatrical)
931721,2195823,33,1,(2006) (Netherlands) (DVD)
931773,2195902,250,1,(2011) (New Zealand) (theatrical)
933468,2197865,11760,1,(2007) (Russia) (theatrical)
934237,2198693,11813,1,(2007) (Sweden) (theatrical)
935044,2199691,12127,1,(2004) (Argentina) (theatrical)
938779,2203873,677,1,(2011) (France) (TV)
939131,2204194,11393,1,(2012) (Philippines) (theatrical)
939109,2204194,425,1,(2012) (USA) (DVD)
939110,2204194,425,1,(2012) (USA) (DVD) (Blu-Ray)
939998,2205167,17660,1,(1998) (Switzerland) (theatrical) (Suisse-Romande) (Suisse-Allemande)
940205,2205350,19329,1,(1995) (Germany) (theatrical) (re-release)
941673,2207004,521,1,(2008) (Argentina) (DVD)
944157,2209887,3139,1,(USA) (laserdisc)
2317688,2212825,107850,2,
948691,2215818,12078,1,(2005) (Turkey) (theatrical)
2330700,2227551,708,2,(in collaboration with)
962231,2231754,15005,1,(1985) (USA) (theatrical) (subtitled)
962986,2232578,12822,1,(2010) (UK) (theatrical)
2337013,2234542,677,2,(in collaboration with)
965743,2235869,12526,1,(2002) (Netherlands) (theatrical)
966061,2236111,426,1,(2012) (Netherlands) (DVD) (rental)
966059,2236111,426,1,(2012) (Netherlands) (theatrical)
966062,2236111,426,1,(2013) (Netherlands) (DVD) (Blu-ray)
