id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,md5sum
19576,90210,,2,2008,0,,0,0,0,2008-????,cd430c1df64804d62d2508d8349efbe5
60865,Scales of Justice,,7,1994,0,S2421,60857,2,3,,50959e12d23c919b12e8e6de0ce2613d
73564,I Am Anne Frank: Part 2,,7,2012,0,A5165,73554,2,5,,88dd9e0f79b8cfcf0e5dfb2a08b5e6dd
74601,Katherine Anne Porter: The Eye of Memory,,7,1986,0,K3651,74512,1,3,,f86018d55d0246ad8fbb73fc52d36f85
74680,W. Eugene Smith: Photography Made Difficult,,7,1989,0,W2525,74512,4,8,,30a4e7106a8709233cde717d8c8cc0b6
138933,The Money Man,,7,1998,0,M5,138909,1,7,,c30451dff824e2c7f63ca4c49802c3f6
181193,Bret Maverick,,2,1981,0,B6351,0,0,0,1981-1982,ff113aeffb022e9c843ac1b5399a0844
206797,Black Blizzard,,7,2003,0,B4214,206793,1,4,,5b49173f584fdb42b5635460b39d4355
214151,Cavegirl,,2,2002,0,C1264,0,0,0,2002-????,76853d54d0129e0198f9da51781caa8b
225880,"""Rich Man", Wood,0,7,1992,,0,225706,10,19,
290033,Jones,,7,2007,0,J52,289961,2,18,,43287636a94ab3c31d025a7ed8987b16
385398,Dragon Ball Z,,2,1989,0,D6251,0,0,0,1989-2003,2e0d38d5bba8b2e52c5faf277b420be6
483396,Whatever It Takes,,7,2010,0,W3163,483324,3,4,,49d7b0208c7514620b2d43db7f936c1e
569312,"""Murder", Murd,0,7,1980,,0,569243,2,1,
586768,Higurashi no naku koro ni,,2,2006,0,H2625,0,0,0,2006-????,38d8a93123f442abc58c9f29bafa9036
654621,Inuyasha,,2,2000,0,I52,0,0,0,2000-2005,0cc47f28a983cd30ca35fa45199f6a5e
861930,Goblin's Gold,,7,2010,0,G1452,861918,3,3,,eac82e59ad62216da6e1733b43352170
891689,Mr. Majeika,,2,1988,0,M652,0,0,0,1988-????,cb2af4973c6bbc26b10f31bddba519fd
1103532,Ryan's Four,,7,1983,0,R5216,1103528,1,0,,0f6ce4a6c4696bdeef191abcefe1477e
1287728,The Billy Crystal Comedy Hour,,2,1982,0,B4262,0,0,0,1982-????,db838bcc8491508ba05ca47c06533c37
1317287,The Diary of Anne Frank,,2,1987,0,D6151,0,0,0,1987-????,4d145e3d25d76c7cbdb5e17eae99fa6b
1361193,The League of Gentlemen,,2,1999,0,L2125,0,0,0,1999-2002,38467b33def279e805d5ce06bc785c4f
1365932,Boomerang/Captain's Triangle/Out of This World,,7,1980,0,B5652,1365902,4,10,,a30fe0ec6e5a1fdd2880c6c83011cad5
1374438,Put Out the Welcome Mat for Death,,7,1973,0,P3425,1374372,5,19,,35015beb3e415aae2365026f41037b44
1380173,The New Batman Adventures,,2,1997,0,N1353,0,0,0,1997-1999,bced2d5e1e412f1d5c0202a31e56a48d
1492921,Totally Spies!,,2,2001,0,T3421,0,0,0,2001-2012,ef002be322885705248447207d61f757
1639199,21 Jump Street,,1,2012,0,J5123,0,0,0,,1a5fc823df201f370c529e241f461ff1
1639199,21 Jump Street,,1,2012,0,J5123,0,0,0,,1a5fc823df201f370c529e241f461ff1
1639199,21 Jump Street,,1,2012,0,J5123,0,0,0,,1a5fc823df201f370c529e241f461ff1
1639199,21 Jump Street,,1,2012,0,J5123,0,0,0,,1a5fc823df201f370c529e241f461ff1
1639199,21 Jump Street,,1,2012,0,J5123,0,0,0,,1a5fc823df201f370c529e241f461ff1
1639421,24 Hour Party People,,1,2002,0,H6163,0,0,0,,0ea8f37053ff09f8cf87cdf07271ad08
1642309,54,,1,1998,0,,0,0,0,,2b83232161c6518d09af28aafca141df
1642446,6 Bullets,,1,2012,0,B432,0,0,0,,a6c5bd3b569b19198a9a02ad7a7078cd
1643482,88 Minutes,,1,2007,0,M532,0,0,0,,145a2f99f67d7e45b82b7e337ae7c42a
1646065,A Clockwork Orange,,1,1971,0,C4262,0,0,0,,725e7e3b158212454ba73e264bbdf484
1656647,A Scent of Heather,,1,1980,0,S2531,0,0,0,,3921019d30001f5f32d9726e923dc6cf
1663288,Abraham Lincoln: Vampire Hunter,,1,2012,0,A1654,0,0,0,,3d624f81320258ba79ee2ca53b8e869f
1663288,Abraham Lincoln: Vampire Hunter,,1,2012,0,A1654,0,0,0,,3d624f81320258ba79ee2ca53b8e869f
1663288,Abraham Lincoln: Vampire Hunter,,1,2012,0,A1654,0,0,0,,3d624f81320258ba79ee2ca53b8e869f
1663288,Abraham Lincoln: Vampire Hunter,,1,2012,0,A1654,0,0,0,,3d624f81320258ba79ee2ca53b8e869f
1663288,Abraham Lincoln: Vampire Hunter,,1,2012,0,A1654,0,0,0,,3d624f81320258ba79ee2ca53b8e869f
1663288,Abraham Lincoln: Vampire Hunter,,1,2012,0,A1654,0,0,0,,3d624f81320258ba79ee2ca53b8e869f
1665416,Adam & Steve,,1,2005,0,A3523,0,0,0,,68ca31e5b05ebea7ebaf698e52db310e
1670633,Air Bud: Golden Receiver,,1,1998,0,A6132,0,0,0,,65d55aaad951fda7449471aa899ff621
1671749,Akoibon,,1,2005,0,A215,0,0,0,,8d3d04871ab0bf415ad3e4f66733550b
1673578,Alex Cross,,1,2012,0,A4262,0,0,0,,c3fad9458c0a5ca67473f21ec4f872f5
1673578,Alex Cross,,1,2012,0,A4262,0,0,0,,c3fad9458c0a5ca67473f21ec4f872f5
1673598,Alex Kidd in Miracle World,,6,1986,0,A4235,0,0,0,,ed1734952446cb35e6d0846bab1ecbf9
1676804,Alle Anderen,,1,2009,0,A4536,0,0,0,,a99a78aa7080c9ba8514933a8222a4f8
1678040,Along Came Polly,,1,2004,0,A4525,0,0,0,,b1aa734d0375b1fae88924d410486bbb
1679328,Amagi goe,,3,1978,0,A52,0,0,0,,6524f4f1269872084b5c035129f0cbca
1680908,American Courtesans,,1,2013,0,A5625,0,0,0,,0e3d18c0b96f40b1c9cb51f03bc28e9e
1681388,American Psycho,,1,2000,0,A5625,0,0,0,,da8e03444a28598d66c15d0f2af0112f
1686057,Anatomie de l'enfer,,1,2004,0,A5353,0,0,0,,e1502d1bb849613d1dd703b0ea6f129c
1687795,Angel Heart,,1,1987,0,A5246,0,0,0,,0df3a1e808ce71b0663a2e83754036ad
1689585,Anna to the Infinite Power,,1,1983,0,A5351,0,0,0,,944e70ba59858f697da3c433028d6f6c
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1694576,Argo,,1,2012,0,A62,0,0,0,,f816722abc4ee13423ab42cb30927340
1695237,Armored Car Robbery,,1,1950,0,A6563,0,0,0,,4e1434c1ec74ce50573c5c8b9236ad7f
1700049,Astérix et la surprise de César,,1,1985,0,A2362,0,0,0,,630351a35d0f180074a9c46b33e1c82e
1700275,At Any Price,,1,2012,0,A3516,0,0,0,,1d744a33c760aee32448c615a23faf18
1707363,Baby: Secret of the Lost Legend,,1,1985,0,B1263,0,0,0,,9ff2bd8613af9921feca715f82fddee0
1707638,Bachelorette,,1,2012,0,B2463,0,0,0,,287b9fc646bf4e6ec901f09f01e03dee
1710155,Bait,III,1,2012,0,B3,0,0,0,,199e079567b7c499d361b5f596d602f5
1710155,Bait,III,1,2012,0,B3,0,0,0,,199e079567b7c499d361b5f596d602f5
1710155,Bait,III,1,2012,0,B3,0,0,0,,199e079567b7c499d361b5f596d602f5
1710155,Bait,III,1,2012,0,B3,0,0,0,,199e079567b7c499d361b5f596d602f5
1713837,Barely Legal 34,,4,2003,0,B6424,0,0,0,,0316f0d53be27ba6ae6fe787f4870731
1716058,Battleship,,1,2012,0,B3421,0,0,0,,732c3c98e8edf0b25fd8d2e4f478e4a1
1716058,Battleship,,1,2012,0,B3421,0,0,0,,732c3c98e8edf0b25fd8d2e4f478e4a1
1716058,Battleship,,1,2012,0,B3421,0,0,0,,732c3c98e8edf0b25fd8d2e4f478e4a1
1717248,Beasts of the Southern Wild,,1,2012,0,B2321,0,0,0,,545a66a06fcd83334e568608cc2d232b
1717975,Beauty Is Embarrassing,,1,2012,0,B3251,0,0,0,,19cc30549c95ac9b08d398a7f55c3620
1717975,Beauty Is Embarrassing,,1,2012,0,B3251,0,0,0,,19cc30549c95ac9b08d398a7f55c3620
1720769,Bella Martha,,1,2001,0,B4563,0,0,0,,a4b8696355480fcb25fba47dec1dd646
1721478,Ben-Hur,,1,1959,0,B56,0,0,0,,ef67df3d5b6431251c4fc697adbfbdb1
1727602,Big Miracle,,1,2012,0,B2562,0,0,0,,8305d3f1138927be9171a0f96819a3b6
1727602,Big Miracle,,1,2012,0,B2562,0,0,0,,8305d3f1138927be9171a0f96819a3b6
1729114,Billie,,1,1965,0,B4,0,0,0,,69bdad45ff6e9462de62532309820f25
1731939,Black Coat Mob,,1,2012,0,B4235,0,0,0,,42f93d5f6e98bcd3f7ac3b9cc94d4798
1732333,Black Hawk Down,,1,2001,0,B4235,0,0,0,,06a2259c33ef239949414252c8d5104d
1734550,Blind Fury,,1,1989,0,B4531,0,0,0,,a777e54bb9b6fe9b52f46ef4ec9d8a1e
1735567,Blood Diamond,,1,2006,0,B4353,0,0,0,,720441d7475420e4ed916c7209b99308
1743959,Branded,,1,2012,0,B653,0,0,0,,f42106dd13e7dfdfb5198c6fb70395c3
1744277,Braveheart,,1,1995,0,B6163,0,0,0,,22c4a7d40365940185eeccb4168fcc3d
1751321,Burlesque,I,1,2010,0,B642,0,0,0,,a46d992f0213eb4345043dfb4ed53688
1752558,Butch Cassidy and the Sundance Kid,,1,1969,0,B3235,0,0,0,,9426b38d93b29df22515dcf3642fac32
1758281,Candyman,,1,1992,0,C535,0,0,0,,71ba136be003cb117744481e310b31f8
1764320,Ce que mes yeux ont vu,,1,2007,0,C2525,0,0,0,,867a423f6cdde12adad7a6f0f3bb0d6a
